proxy,latency
http://212.220.105.48:80,1.0183026790618896
http://163.172.136.226:8811,3.675192356109619
http://124.105.88.188:8080,2.3828330039978027
http://85.21.63.219:53281,2.318052291870117
http://187.188.168.57:9991,1.9056949615478516
http://14.207.195.36:8080,3.1684515476226807
http://139.99.105.186:80,2.084146499633789
http://176.101.221.119:80,3.3481462001800537
http://5.59.141.128:3128,3.5458245277404785
http://159.224.83.100:8080,3.0723373889923096
http://157.230.244.46:8080,1.7132668495178223
http://165.22.36.112:3128,2.4743494987487793
http://125.25.162.244:8080,4.270893573760986
http://185.187.204.210:8080,0.9230735301971436
http://13.75.214.48:3128,2.8864779472351074
http://118.151.220.28:8080,2.1810402870178223
http://1.20.156.230:8080,1.8530690670013428
http://81.200.63.108:60579,3.064253568649292
http://209.97.189.98:8080,0.8035006523132324
http://89.19.199.152:53281,1.9259121417999268
http://213.234.238.52:8080,2.6376051902770996
http://118.174.211.220:11,1.5900442600250244
http://116.254.100.165:46675,2.6771466732025146
http://62.152.75.110:50287,1.2717528343200684
http://109.198.110.234:8080,1.6455278396606445
http://24.172.34.114:33653,3.416205644607544
http://200.225.198.170:3128,2.385716676712036
http://36.89.15.62:8080,1.735175609588623
http://189.201.213.6:8080,4.064217805862427
http://103.122.255.18:8080,2.6550540924072266
http://103.78.73.34:8888,2.0466747283935547
http://80.90.137.210:8080,2.0605201721191406
http://213.142.218.226:40816,4.196115732192993
http://95.68.11.4:53281,2.911328077316284
http://103.36.100.234:8000,2.757425308227539
http://200.73.128.198:3128,1.982464075088501
http://187.16.4.126:8080,1.8013203144073486
http://14.207.64.61:8080,1.7732717990875244
http://101.51.244.224:8080,1.7336196899414062
http://163.172.148.62:8811,0.42087316513061523
http://5.56.18.35:38827,4.60426139831543
http://165.22.57.92:8080,1.5711145401000977
http://211.21.120.163:8080,3.8813703060150146
http://139.228.246.45:8080,2.506589412689209
http://93.179.209.210:57520,3.4481914043426514
http://203.190.243.181:3128,4.072138071060181
http://51.158.111.229:8811,1.3918914794921875
http://181.119.69.14:8080,2.8369791507720947
http://149.56.148.219:3128,3.9772212505340576
http://186.47.17.70:40437,2.975778579711914
http://110.77.154.191:8080,2.1841607093811035
http://192.140.42.81:40242,4.0081400871276855
http://150.129.250.28:33846,2.5402114391326904
http://194.226.111.201:8080,0.8287403583526611
http://142.93.122.155:8118,3.442492723464966
http://181.196.151.82:49885,4.46436882019043
http://37.18.79.41:3128,0.29543352127075195
http://110.39.174.58:8080,3.7247750759124756
http://77.242.24.64:8080,3.928027868270874
http://92.114.234.206:46685,2.013282537460327
http://92.247.97.159:41258,2.923096179962158
http://167.86.80.2:3128,3.7337710857391357
http://125.26.7.85:54888,3.8464019298553467
http://171.96.57.237:80,1.931905746459961
http://186.216.174.119:3128,3.774735927581787
http://185.36.157.30:8080,4.137284755706787
